,Base,C1'-C2',C1'-C2'-C3',C1'-C2'-O2',C1'-N1-C2/C1'-N9-C4,C1'-N1-C6/C1'-N9-C8,C1'-N1/C1'-N9,C1'-O4',C1'-O4'-C4',C2'-C1'-O4',C2'-C3',C2'-C3'-C4',C2'-C3'-O3',C2'-O2',C2-N1-C6/C4-N9-C8,C3'-C2'-O2',C3'-C4',C3'-C4'-C5',C3'-C4'-O4',C3'-O3',C4'-C3'-O3',C4'-C5',C4'-C5'-O5',C4'-O4',C5'-C4'-O4',C5'-O5',Chi,Chi_sign,Chi_syn,Conformation,Gamma,Gamma_clinical,Gamma_sign,Gamma_syn,N1-C1'-C2'/N9-C1'-C2',N1-C1'-O4'/N9-C1'-O4',N1-C2/N9-C4,N1-C6/N9-C8,Sugar,T1233,T1445,T144_N,T221_N,T2233,T2345,T321_N,T3345,T3455,T4122,T4322,T4433,T4455,TAU_0,TAU_1,TAU_2,TAU_3,TAU_4,TCHI,T_max,Temperature,Theta,absChi,absChiDiff90,absGamma,absGammaDiff90
HEZWOZ_79,pyrimidine,1.49293,103.66,,116.762,122.263,1.4694,1.42646,108.946,106.672,1.49084,102.675,113.868,,120.975,,1.52396,115.639,106.114,1.42537,107.264,1.51306,111.639,1.45046,109.082,1.41952,anti,-,anti,C2'-endo,gauche+,C,+,S,114.471,107.315,1.36413,1.37221,deoxyribose,81.5903,118.165,-137.89,,,-95.313,149.518,144.408,57.0976,,,-94.5191,-62.3615,-14.7764,30.9857,-34.0142,25.7595,-7.0419,-146.593,34.915745480095545,100.0,173.1389009820428,146.593,56.59299999999999,57.0976,32.9024
HEZWOZ_80,pyrimidine,1.50562,101.092,,116.972,121.336,1.49458,1.39735,110.106,107.673,1.52261,101.964,106.443,,121.502,,1.52781,115.498,104.599,1.40593,111.641,1.50577,109.048,1.44604,110.694,1.40414,anti,-,anti,C2'-endo,gauche+,C,+,S,113.462,107.269,1.36396,1.35867,deoxyribose,79.8738,112.205,-134.191,,,-90.4368,149.648,156.275,51.6634,,,-81.8,-66.9357,-11.7359,31.0974,-37.2287,31.4878,-12.8188,-167.147,38.18292712023086,100.0,180.75592639170847,167.147,77.14699999999999,51.6634,38.3366
HIFVEY_81,pyrimidine,1.5173,103.317,,116.817,121.621,1.47996,1.40956,110.406,106.506,1.51178,103.068,110.134,,121.561,,1.53139,113.694,106.683,1.43275,111.208,1.51876,107.939,1.43951,109.735,1.42206,anti,-,anti,C2'-endo,gauche+,C,+,S,112.624,108.027,1.37707,1.36886,deoxyribose,88.4596,121.2,-138.585,,,-100.18,148.276,141.843,51.1044,,,-97.0609,-68.2685,-17.3618,30.0352,-30.2684,20.916,-2.38641,-151.285,32.01168211989473,100.0,165.82154962336338,151.285,61.285,51.1044,38.8956
HIFVEY_82,pyrimidine,1.5312,102.504,,119.225,118.68,1.47143,1.4161,109.945,106.453,1.5186,103.8,108.059,,122.06,,1.54103,112.296,106.647,1.43619,112.132,1.51059,109.921,1.44878,108.997,1.42269,anti,-,anti,C2'-endo,gauche+,C,+,S,113.344,107.181,1.38352,1.37122,deoxyribose,89.5707,124.025,-143.605,,,-101.523,149.924,142.085,51.9799,,,-98.5859,-65.9647,-22.0193,32.3485,-29.6468,17.8056,2.57669,-121.302,33.06056926147769,100.0,157.2664858374924,121.302,31.302000000000007,51.9799,38.0201
HOLSUY_84,pyrimidine,1.52627,100.902,,117.864,120.7,1.45795,1.41976,109.388,105.422,1.51345,103.022,107.059,,121.378,,1.52682,114.456,105.98,1.43677,112.045,1.52039,113.378,1.4487,108.542,1.43369,anti,-,anti,C2'-endo,gauche+,C,+,S,115.199,107.343,1.37939,1.36727,deoxyribose,81.8045,123.041,-146.728,,,-95.6408,155.564,149.618,48.4496,,,-90.8028,-69.6845,-23.4402,37.4286,-36.4863,23.9379,-0.343692,-133.882,39.25858045885394,100.0,162.2657094743811,133.882,43.882000000000005,48.4496,41.5504
IJIHIU_85,pyrimidine,1.52534,102.186,,118.518,119.316,1.45901,1.42416,110.1,105.819,1.51181,102.575,108.414,,121.863,,1.53504,114.488,105.8,1.42531,110.795,1.51423,108.078,1.4474,107.775,1.41328,anti,-,anti,C2'-endo,gauche-,C,-,S,114.545,108.365,1.38987,1.3693,deoxyribose,81.5283,116.958,-140.444,,,-92.0003,152.599,152.475,-61.5401,,,-89.0024,-178.941,-17.1466,33.2981,-35.7069,26.5227,-5.93666,-119.431,36.96151333519335,170.0,170.88156072360576,119.431,29.430999999999997,61.5401,28.459899999999998
IJIHOA_86,pyrimidine,1.51488,102.411,,115.456,122.516,1.49231,1.41139,109.367,107.632,1.50751,101.724,111.939,,121.894,,1.52105,116.325,104.249,1.41615,112.623,1.51042,110.946,1.43905,109.533,1.42774,anti,-,anti,C3'-endo,gauche+,C,+,S,112.212,107.976,1.38225,1.36288,deoxyribose,156.013,148.566,-121.76,,,-157.4,95.8637,82.6085,50.9051,,,-156.693,-66.9292,-0.41689,-22.7937,35.5406,-36.7014,23.426,-164.02,38.35284906002952,170.0,18.769171661323476,164.02,74.02000000000001,50.9051,39.0949
IJIHUG_87,pyrimidine,1.52296,101.189,,118.76,119.387,1.46143,1.42552,110.011,105.403,1.51481,102.889,107.189,,121.84,,1.53495,115.852,105.17,1.4209,111.513,1.51037,111.848,1.45194,109.392,1.42858,anti,-,anti,C2'-endo,gauche+,C,+,S,114.77,108.123,1.37652,1.37477,deoxyribose,80.2097,121.678,-144.058,,,-94.7438,155.266,150.67,51.8343,,,-88.4218,-66.7753,-20.8659,36.4195,-37.4726,26.164,-3.37986,-125.037,39.2978453040092,170.0,166.66578147898036,125.037,35.037000000000006,51.8343,38.1657
IPDXUR_88,pyrimidine,1.5238,103.072,,119.614,119.281,1.43868,1.41909,110.657,105.656,1.50239,102.892,110.14,,121.034,,1.5373,113.548,106.496,1.42724,107.689,1.52092,109.991,1.4268,109.793,1.39793,anti,-,anti,C2'-endo,gauche+,C,+,S,116.03,108.257,1.38434,1.40057,deoxyribose,82.4385,120.388,-142.724,,,-98.4175,151.402,145.24,52.9618,,,-93.8093,-66.1187,-17.8093,31.4716,-32.1407,22.5336,-2.93874,-112.553,33.79984145229178,295.0,166.72977996161396,112.553,22.552999999999997,52.9618,37.0382
IPDXUR01_89,pyrimidine,1.5238,103.072,,119.614,119.281,1.43868,1.41909,110.657,105.656,1.50239,102.892,110.14,,121.034,,1.5373,113.548,106.496,1.42724,107.689,1.52092,109.991,1.4268,109.793,1.39793,anti,-,anti,C2'-endo,gauche+,C,+,S,116.03,108.257,1.38434,1.40057,deoxyribose,82.4385,120.388,-142.724,,,-98.4175,151.402,145.24,52.9618,,,-93.8093,-66.1187,-17.8093,31.4716,-32.1407,22.5336,-2.93874,-112.553,33.79984145229178,295.0,166.72977996161396,112.553,22.552999999999997,52.9618,37.0382
JAJQAM_92,pyrimidine,1.50949,102.274,,118.411,120.442,1.47124,1.41813,109.954,105.956,1.50919,103.229,106.426,,121.107,,1.53716,113.539,105.77,1.46575,111.648,1.51013,111.899,1.44422,110.116,1.40115,anti,-,anti,C2'-endo,gauche+,C,+,S,113.693,108.337,1.38487,1.35953,deoxyribose,84.16,123.099,-144.216,,,-99.3405,153.533,146.716,50.2505,,,-92.4315,-68.1255,-21.8675,34.6645,-33.5109,21.5122,0.0481592,-146.043,36.13570295377462,295.0,161.56105534487125,146.043,56.043000000000006,50.2505,39.7495
JAPPEV_93,pyrimidine,1.51351,102.915,,115.917,122.845,1.49988,1.41565,111.039,106.73,1.51408,103.278,109.852,,120.88,,1.52752,115.543,104.553,1.4299,113.311,1.4972,109.203,1.45156,109.859,1.44044,anti,-,anti,C3'-endo,gauche+,C,+,S,113.447,108.452,1.36737,1.36918,deoxyribose,154.751,136.909,-113.351,,,-149.486,92.4095,91.7219,48.7579,,,-147.411,-69.1928,9.21768,-26.9721,33.5868,-28.6197,12.3395,-174.097,34.125582578504755,295.0,2.645289759596347,174.097,84.09700000000001,48.7579,41.2421
JIBDIH_94,pyrimidine,1.52096,101.767,,117.953,120.087,1.48247,1.40961,109.875,106.572,1.5154,102.723,107.86,,121.944,,1.53529,115.439,105.97,1.42822,110.161,1.51874,110.787,1.44756,110.127,1.4349,anti,-,anti,C2'-endo,gauche+,C,+,S,113.101,107.878,1.37548,1.37329,deoxyribose,81.7715,121.722,-140.658,,,-97.5148,152.128,147.787,48.9392,,,-90.0405,-70.9819,-18.9143,33.7582,-34.5867,24.6574,-3.77927,-147.767,36.41024484388352,295.0,167.4728963523866,147.767,57.766999999999996,48.9392,41.0608
KAMCUW_95,pyrimidine,1.5053,102.829,,120.744,117.167,1.48153,1.41235,110.576,106.92,1.52202,102.501,111.917,,121.287,,1.53571,116.561,105.061,1.42246,107.062,1.50659,112.224,1.4549,111.204,1.40689,anti,-,anti,C2'-endo,gauche+,C,+,S,115.397,107.594,1.36988,1.39561,deoxyribose,80.1222,117.787,-137.673,,,-96.4595,149.604,145.637,50.3191,,,-90.7706,-70.0488,-13.1489,29.9891,-34.2807,27.1328,-9.15993,-118.386,35.02331588165139,295.0,176.41652499537471,118.386,28.385999999999996,50.3191,39.6809
KASVEF_96,pyrimidine,1.51708,102.3,,118.206,119.602,1.46302,1.415,110.625,105.534,1.50559,102.91,106.761,,121.762,,1.52094,114.007,105.579,1.45527,109.783,1.52297,112.848,1.43873,110.72,1.41987,anti,-,anti,C2'-endo,gauche+,C,+,S,114.865,108.339,1.38476,1.37315,deoxyribose,80.3743,118.071,-140.4,,,-95.72,151.883,150.898,56.6003,,,-87.3494,-62.2683,-16.9014,32.6239,-35.1994,26.0327,-5.78041,-117.962,36.327883499549465,295.0,170.8443905082392,117.962,27.962000000000003,56.6003,33.3997
KECRUI_99,pyrimidine,1.52357,105.918,,118.972,120.219,1.47526,1.4208,110.553,107.336,1.52696,103.642,113.42,,120.801,,1.52959,115.814,106.014,1.42027,112.146,1.52116,109.168,1.43709,107.786,1.43013,anti,-,anti,Other,gauche+,C,+,S,114.05,107.334,1.38863,1.37311,deoxyribose,139.355,149.014,-135.979,,,-144.75,115.019,92.542,55.1419,,,-147.996,-63.348,-12.9767,-3.73855,17.4941,-25.2881,24.4145,-140.001,26.251678586380844,163.0,47.294590541547215,140.001,50.001000000000005,55.1419,34.8581
KECRUI_100,pyrimidine,1.52317,104.102,,119.388,119.545,1.4864,1.43074,109.434,105.591,1.49822,103.087,112.64,,120.395,,1.52428,114.314,107.437,1.41909,109.037,1.51135,108.808,1.44726,109.895,1.43221,anti,-,anti,C2'-endo,gauche+,C,+,S,111.966,107.141,1.3819,1.3798,deoxyribose,86.6547,123.593,-137.766,,,-101.728,147.18,138.385,55.9383,,,-99.3851,-64.9392,-18.2634,30.9181,-30.7198,20.502,-1.34095,-138.696,32.586203220740025,163.0,164.17427867789365,138.696,48.696,55.9383,34.0617
KECSAP_101,pyrimidine,1.49495,103.096,,119.864,119.822,1.48372,1.41823,110.744,107.346,1.52941,104.405,112.377,,120.303,,1.51404,116.348,105.445,1.42736,107.87,1.51023,109.062,1.4559,109.145,1.42346,anti,-,anti,C2'-endo,gauche+,C,+,S,113.241,107.538,1.38655,1.36467,deoxyribose,87.1172,120.47,-136.24,,,-99.3584,145.562,140.919,52.1607,,,-97.9815,-66.9514,-14.0814,27.0258,-29.5222,21.741,-5.214,-111.191,30.328509611912036,298.0,171.24576648772378,111.191,21.191000000000003,52.1607,37.8393
LIJZIN_105,pyrimidine,1.52015,102.227,,119.809,120.145,1.47143,1.4402,109.337,105.624,1.51365,101.914,112.557,,120.012,,1.5138,113.265,105.751,1.43188,108.238,1.51043,111.036,1.45142,109.341,1.41261,anti,-,anti,C2'-endo,trans,P,+,A,114.966,108.632,1.38302,1.38031,deoxyribose,77.3492,109.698,-135.997,,,-87.7561,151.543,153.408,174.766,,,-86.8675,57.1159,-12.1613,31.7973,-38.3725,31.9689,-12.5747,-129.06,39.0422136466281,295.0,180.290004003669,129.06,39.06,174.766,84.76599999999999
LOGYUC_107,pyrimidine,1.52962,101.963,,117.781,119.024,1.48509,1.40833,110.992,106.335,1.52899,102.822,110.057,,123.17,,1.53239,116.39,105.8,1.42543,109.792,1.51416,111.065,1.4451,109.81,1.4341,anti,-,anti,C2'-endo,gauche+,C,+,S,113.333,107.336,1.40357,1.36415,deoxyribose,83.2407,120.607,-137.944,,,-97.0807,149.089,145.808,48.4739,,,-91.943,-71.6467,-16.3521,31.4058,-33.6823,25.1682,-5.75844,-153.262,34.948616364442096,100.0,170.95111805343376,153.262,63.262,48.4739,41.5261
LOWHEK_108,pyrimidine,1.50148,102.116,,118.592,120.251,1.47089,1.41706,109.148,106.073,1.51574,102.333,107.585,,120.679,,1.53063,116.342,106.255,1.4003,112.378,1.50763,108.898,1.44983,110.299,1.41802,anti,-,anti,C2'-endo,gauche+,C,+,S,113.188,108.075,1.37366,1.3766,deoxyribose,83.4063,126.223,-144.056,,,-100.325,154.558,144.559,58.9756,,,-92.239,-62.1004,-22.3831,36.2189,-35.1549,22.877,-0.6943,-140.185,37.79473377352052,295.0,162.46394082903348,140.185,50.185,58.9756,31.0244
LOWHEK_109,pyrimidine,1.52163,102.266,,118.805,120.633,1.46191,1.42381,109.356,104.839,1.51807,102.468,107.646,,120.562,,1.53233,115.355,106.816,1.41574,111.562,1.51729,108.939,1.44701,109.851,1.41604,anti,-,anti,C2'-endo,gauche+,C,+,S,114.022,107.572,1.38279,1.37648,deoxyribose,83.5517,128.971,-147.087,,,-102.281,154.675,142.809,61.1764,,,-94.7945,-59.5834,-25.3758,37.2865,-34.1781,20.1152,3.18699,-128.88,38.031163923239134,295.0,156.92930061545175,128.88,38.879999999999995,61.1764,28.8236
LOWHIO_110,pyrimidine,1.51664,102.804,,118.143,119.552,1.47052,1.41208,109.495,105.752,1.50264,101.647,107.393,,121.924,,1.56016,115.586,106.145,1.40759,110.646,1.50571,109.341,1.44868,110.639,1.42413,anti,-,anti,C2'-endo,gauche+,C,+,S,113.081,108.591,1.36795,1.38083,deoxyribose,81.2268,126.004,-144.245,,,-100.466,155.468,145.717,59.3944,,,-91.2272,-61.2561,-22.6011,36.7637,-34.9938,22.5904,-0.115364,-141.372,37.92374289110505,295.0,161.73396155664875,141.372,51.372000000000014,59.3944,30.605600000000003
LOWHIO_111,pyrimidine,1.51323,101.828,,118.788,120.088,1.46664,1.42307,109.079,105.288,1.52013,102.456,107.63,,121.111,,1.53547,115.06,106.648,1.41936,111.107,1.50592,109.026,1.44466,110.206,1.42431,anti,-,anti,C2'-endo,gauche+,C,+,S,113.884,107.535,1.38392,1.37347,deoxyribose,82.6425,128.832,-147.752,,,-102.252,155.474,143.056,60.6825,,,-94.4102,-59.9212,-25.9788,37.9175,-34.5617,20.2819,3.29975,-129.78,38.61541405653174,295.0,156.68312145712122,129.78,39.78,60.6825,29.317500000000003
LOWHOU_112,pyrimidine,1.5537,104.604,,120.223,118.715,1.46872,1.42291,109.442,106.379,1.49071,105.355,115.403,,121.039,,1.54655,114.208,107.706,1.39779,113.844,1.50468,107.477,1.44396,109.637,1.42982,anti,-,anti,Other,gauche+,C,+,S,112.949,106.447,1.35982,1.38821,deoxyribose,108.287,136.694,-144.14,,,-117.022,142.351,115.552,58.8117,,,-122.421,-62.1498,-23.4425,25.932,-18.1893,5.00478,11.8783,-123.553,26.21622650856661,295.0,135.55537579635953,123.553,33.553,58.8117,31.188299999999998
LOWHOU_113,pyrimidine,1.49321,104.569,,116.237,122.292,1.49535,1.42739,109.83,107.445,1.53217,101.728,114.495,,121.414,,1.51615,117.342,105.401,1.41712,113.059,1.52101,105.79,1.43168,108.645,1.43444,anti,-,anti,C3'-endo,gauche+,C,+,S,115.796,106.607,1.36162,1.37541,deoxyribose,151.929,150.535,-129.221,,,-153.745,102.476,82.9841,46.6512,,,-155.968,-72.689,-4.48983,-16.5117,29.641,-32.6969,23.9699,-152.097,33.54763903471123,295.0,25.859044392549848,152.097,62.09700000000001,46.6512,43.3488
LOWJEM_116,pyrimidine,1.50667,105.966,,120.008,119.058,1.47217,1.42752,110.026,105.77,1.50099,104.193,112.54,,120.913,,1.52731,114.951,107.558,1.43724,112.694,1.48898,107.738,1.4407,109.641,1.42563,anti,-,anti,Other,gauche+,C,+,S,114.622,106.832,1.38064,1.37512,deoxyribose,101.686,133.883,-143.903,,,-114.148,143.586,123.552,58.8258,,,-114.032,-62.4615,-21.3725,26.1724,-20.7152,8.26765,8.24185,-121.272,26.12991304758944,295.0,143.68265458138143,121.272,31.272000000000006,58.8258,31.1742
LOWJEM_117,pyrimidine,1.50369,104.869,,116.992,120.729,1.49406,1.40047,109.685,107.458,1.49776,101.68,115.874,,122.167,,1.52247,116.745,104.684,1.41479,114.079,1.5016,107.227,1.44708,108.39,1.43619,anti,-,anti,C3'-endo,gauche+,C,+,S,115.056,107.856,1.34986,1.37602,deoxyribose,155.184,148.857,-128.313,,,-153.123,102.151,81.3928,45.0694,,,-158.788,-72.7489,-3.72078,-17.9717,30.8991,-33.3042,23.591,-150.85,34.38575872805158,295.0,24.016338947500916,150.85,60.849999999999994,45.0694,44.9306
MOLQUZ_118,pyrimidine,1.51851,102.44,,119.785,118.165,1.48266,1.3878,109.457,107.04,1.50132,103.565,107.194,,122.046,,1.5125,116.717,106.162,1.4199,112.196,1.52189,111.355,1.46593,107.786,1.45177,anti,-,anti,C2'-endo,gauche+,C,+,S,114.057,108.192,1.35529,1.38327,deoxyribose,86.7524,123.712,-142.155,,,-98.1302,151.747,146.601,51.3943,,,-93.2724,-67.863,-18.8212,32.1159,-32.0277,21.9963,-2.05921,-122.603,34.04821379043023,160.0,165.09827908825,122.603,32.602999999999994,51.3943,38.6057
MOLRAG_121,pyrimidine,1.51122,102.196,,115.58,120.833,1.47888,1.41159,109.587,107.328,1.52305,101.747,108.31,,123.58,,1.51828,112.647,105.583,1.43135,110.795,1.52729,107.585,1.44969,108.818,1.41756,anti,-,anti,C2'-endo,gauche-,C,-,S,113.666,108.147,1.40337,1.35346,deoxyribose,80.8183,106.537,-132.048,,,-86.98,148.196,158.045,-60.9153,,,-83.3218,-177.639,-9.03957,28.6608,-35.9747,31.6528,-14.6178,-155.37,36.940203860846836,160.0,184.386823415114,155.37,65.37,60.9153,29.084699999999998
NEKBOV_122,pyrimidine,1.5137,102.097,,118.708,119.595,1.47206,1.42473,109.898,106.193,1.50499,103.634,106.938,,121.337,,1.52496,116.276,105.764,1.44189,110.13,1.50473,111.778,1.443,110.116,1.43395,anti,-,anti,C2'-endo,gauche+,C,+,S,114.921,107.529,1.37719,1.37245,deoxyribose,82.3187,122.554,-141.674,,,-98.3163,151.373,147.592,59.8796,,,-89.8658,-60.3523,-18.1791,32.6372,-34.0442,24.2259,-3.83638,-106.149,35.52670135831927,130.0,167.92168195909125,106.149,16.149,59.8796,30.120399999999997
NULJAG_123,pyrimidine,1.5279,102.742,,119.206,118.626,1.46439,1.41478,109.402,105.092,1.51445,104.125,107.318,,121.8,,1.53951,116.632,106.697,1.46181,109.644,1.51057,108.022,1.43965,108.486,1.45331,anti,-,anti,Other,gauche+,C,+,S,113.426,107.107,1.38179,1.3789,deoxyribose,89.7161,139.207,-151.01,,,-111.615,151.666,133.819,63.6052,,,-104.8,-56.8282,-30.0906,34.9943,-26.4893,9.76629,12.7846,-138.743,35.151458876812015,120.0,140.74654611231745,138.743,48.742999999999995,63.6052,26.394799999999996
NULJIO_125,pyrimidine,1.52926,102.769,,118.732,119.79,1.46452,1.43008,110.104,106.107,1.51924,103.739,107.34,,121.451,,1.52773,115.069,106.491,1.46991,109.248,1.50497,108.755,1.45277,110.116,1.45212,anti,-,anti,C2'-endo,gauche+,C,+,S,114.265,107.618,1.3959,1.37729,deoxyribose,84.0154,122.82,-140.594,,,-100.432,149.289,145.341,48.9417,,,-92.3516,-71.3954,-17.8754,30.8817,-31.5702,21.8758,-2.56245,-122.414,33.19140211147206,100.0,166.15458577268538,122.414,32.414,48.9417,41.0583
PAVYOB_135,pyrimidine,1.51771,103.338,,119.873,118.407,1.44349,1.41651,110.28,105.436,1.50794,103.737,109.154,,121.671,,1.52899,114.278,107.063,1.42795,107.7,1.49463,108.918,1.42593,109.384,1.43301,anti,-,anti,C2'-endo,gauche+,C,+,S,114.46,107.879,1.36653,1.38464,deoxyribose,86.7958,130.108,-146.525,,,-106.696,150.449,137.672,58.6057,,,-101.042,-61.3898,-23.8123,32.0565,-27.8016,14.5889,5.78006,-121.895,32.32872424914949,293.0,151.62385640526273,121.895,31.894999999999996,58.6057,31.3943
PAVYOB_136,pyrimidine,1.51745,103.662,,119.201,119.533,1.44888,1.40293,111.023,105.624,1.50575,104.035,108.668,,121.052,,1.52926,113.845,106.486,1.43308,110.1,1.48894,106.454,1.43061,108.801,1.439,anti,-,anti,C2'-endo,gauche+,C,+,S,114.232,107.344,1.37084,1.37431,deoxyribose,90.791,128.634,-144.956,,,-105.964,148.249,137.753,52.6437,,,-102.362,-65.9257,-22.6926,30.5179,-26.4908,13.9216,5.53337,-123.194,30.79998493876792,293.0,151.61987113695156,123.194,33.194,52.6437,37.3563
PAVYOB_137,pyrimidine,1.51993,103.308,,118.634,120.031,1.45463,1.40483,110.87,105.889,1.51696,103.202,107.882,,121.322,,1.52758,114.439,107.308,1.42867,110.455,1.48884,106.401,1.42138,108.852,1.44284,anti,-,anti,C2'-endo,gauche+,C,+,S,113.775,107.913,1.36239,1.39332,deoxyribose,89.1423,127.171,-143.213,,,-104.504,148.818,140.401,50.064,,,-98.7093,-69.9681,-21.0357,30.4688,-27.7852,16.385,2.81642,-133.6,31.100764977290044,293.0,156.53257083634054,133.6,43.599999999999994,50.064,39.936
PAVYOB_138,pyrimidine,1.51312,101.587,,118.819,119.945,1.44617,1.40745,110.092,105.97,1.51434,103.974,109.425,,121.191,,1.52943,116.149,106.014,1.42655,108.304,1.48784,109.188,1.43302,109.185,1.43539,anti,-,anti,C2'-endo,gauche+,C,+,S,114.425,107.784,1.36299,1.37489,deoxyribose,84.372,130.514,-148.204,,,-103.935,153.586,139.751,58.1161,,,-98.7983,-61.6342,-25.2833,34.9739,-31.1545,17.5164,4.68843,-123.626,35.553412158966125,293.0,154.14185224121366,123.626,33.626000000000005,58.1161,31.883899999999997
PAVYOB_139,pyrimidine,1.50316,103.317,,116.968,120.482,1.46616,1.39576,109.974,106.029,1.50577,103.757,107.172,,121.419,,1.5284,115.546,106.722,1.43505,111.45,1.48066,107.448,1.42798,108.634,1.44102,anti,-,anti,C2'-endo,gauche+,C,+,S,112.503,108.033,1.3583,1.37357,deoxyribose,91.9984,134.427,-147.198,,,-109.453,150.465,135.537,56.0123,,,-103.575,-63.8361,-26.3801,32.5822,-26.0171,11.435,9.22361,-153.526,32.55129297773922,293.0,145.33066016912346,153.526,63.52600000000001,56.0123,33.9877
POGGAT_141,pyrimidine,1.51327,102.176,,121.165,119.83,1.47285,1.40746,110.398,106.198,1.5207,103.118,108.073,,118.977,,1.5316,114.403,105.793,1.42816,111.282,1.50326,109.443,1.44821,110.697,1.39286,anti,-,anti,C2'-endo,gauche+,C,+,S,113.973,107.947,1.38557,1.3858,deoxyribose,84.8651,123.585,-143.405,,,-100.339,152.384,144.026,49.5979,,,-93.8568,-69.8015,-20.8012,33.6767,-33.0449,21.7783,-0.87649,-142.952,35.398341392017365,295.0,162.95290998634647,142.952,52.952,49.5979,40.4021
POGGAT_143,pyrimidine,1.50711,102.264,,118.797,120.067,1.47724,1.41259,110.454,106.041,1.5147,102.888,106.903,,121.134,,1.50694,116.023,104.856,1.42312,110.829,1.53533,112.806,1.45671,109.33,1.418,anti,-,anti,C2'-endo,gauche+,C,+,S,115.339,107.605,1.38324,1.36838,deoxyribose,80.4302,115.119,-137.477,,,-91.8014,150.098,154.234,52.3092,,,-85.0626,-65.9606,-13.5294,31.1279,-36.3627,28.9023,-9.91588,-152.933,36.918074853981004,295.0,177.05316156578095,152.933,62.93299999999999,52.3092,37.6908
PULVIB_144,pyrimidine,1.53103,104.489,,119.791,118.096,1.46045,1.4162,108.729,107.771,1.52189,104.003,111.285,,121.812,,1.53246,113.316,105.306,1.43116,111.646,1.51049,112.925,1.42155,109.534,1.41851,syn,+,syn,Other,trans,P,-,A,116.118,107.676,1.37403,1.37364,deoxyribose,134.833,154.252,-148.719,,,-147.943,124.721,91.9594,-173.616,,,-148.342,69.1319,-22.7507,3.90749,14.4914,-28.2446,32.0775,64.9155,32.05191793913098,295.0,62.449320753774494,64.9155,25.084500000000006,173.616,83.61600000000001
QAJJES_145,pyrimidine,1.49791,103.0,,118.502,120.908,1.46562,1.42081,109.806,106.315,1.53257,104.018,107.094,,120.515,,1.50556,114.363,106.895,1.4489,112.011,1.51865,111.551,1.44932,109.131,1.42458,anti,-,anti,C2'-endo,gauche+,C,+,S,114.51,106.973,1.36621,1.36746,deoxyribose,90.0694,127.308,-144.812,,,-104.525,149.2,140.154,47.4399,,,-98.9459,-72.215,-22.0406,31.3118,-28.6757,16.3756,3.13515,-146.931,32.03513375535532,291.0,155.8839036971964,146.931,56.93100000000001,47.4399,42.5601
QAJJES_146,pyrimidine,1.52138,102.478,,117.734,119.902,1.46476,1.40353,109.555,106.241,1.48785,104.657,106.788,,121.691,,1.51999,115.399,106.271,1.44761,110.851,1.51701,111.065,1.44533,108.83,1.4257,anti,-,anti,C2'-endo,gauche+,C,+,S,113.092,108.183,1.37441,1.38994,deoxyribose,87.9586,128.472,-144.468,,,-103.462,151.273,141.761,51.3228,,,-97.5223,-67.9922,-22.755,32.7479,-29.635,17.2543,3.6096,-151.128,33.33452323665307,291.0,155.7851786189383,151.128,61.127999999999986,51.3228,38.6772
QOKJUV_147,pyrimidine,1.51798,102.094,,118.937,119.669,1.45954,1.41566,109.661,104.621,1.50898,103.424,106.918,,121.376,,1.53625,116.462,106.068,1.44775,109.574,1.50623,111.216,1.44059,109.458,1.45547,anti,-,anti,C2'-endo,gauche+,C,+,S,114.341,107.345,1.38348,1.38151,deoxyribose,83.4131,134.091,-150.453,,,-105.724,154.901,140.547,47.5625,,,-97.4066,-72.6861,-28.6013,37.7609,-32.2209,16.322,7.67946,-137.484,37.979768898927595,295.0,150.25621895635558,137.484,47.48400000000001,47.5625,42.4375
QOKJUV_148,pyrimidine,1.52877,103.494,,115.058,123.619,1.48608,1.4088,110.746,106.278,1.51266,101.647,110.388,,121.266,,1.52543,118.013,105.838,1.45802,108.54,1.50698,106.529,1.4383,108.25,1.40767,anti,-,anti,C3'-endo,gauche-,C,-,S,113.035,108.716,1.37518,1.37537,deoxyribose,-81.2851,143.012,-115.596,,,-152.058,93.3844,-35.6786,-68.2295,,,85.6297,171.709,6.36397,-25.7852,33.7367,-30.7494,15.5952,-159.919,34.8197618017312,295.0,7.722508138824575,159.919,69.91900000000001,68.2295,21.7705
RAKLOG_149,pyrimidine,1.52482,102.113,,117.285,122.224,1.50907,1.42015,110.25,106.472,1.51702,101.66,110.438,,120.452,,1.53056,115.177,104.404,1.42368,113.484,1.51335,112.041,1.4499,110.292,1.42122,anti,-,anti,C3'-endo,gauche+,C,+,S,111.963,108.282,1.42824,1.33906,deoxyribose,158.534,141.747,-113.619,,,-155.564,89.635,85.8542,47.2918,,,-153.056,-70.5401,6.93971,-28.526,37.7952,-34.4741,17.466,-171.779,38.89910109012282,173.0,7.98395465590909,171.779,81.779,47.2918,42.7082
