,Base,C1'-C2',C1'-C2'-C3',C1'-C2'-O2',C1'-N1-C2/C1'-N9-C4,C1'-N1-C6/C1'-N9-C8,C1'-N1/C1'-N9,C1'-O4',C1'-O4'-C4',C2'-C1'-O4',C2'-C3',C2'-C3'-C4',C2'-C3'-O3',C2'-O2',C2-N1-C6/C4-N9-C8,C3'-C2'-O2',C3'-C4',C3'-C4'-C5',C3'-C4'-O4',C3'-O3',C4'-C3'-O3',C4'-C5',C4'-C5'-O5',C4'-O4',C5'-C4'-O4',C5'-O5',Chi,Chi_sign,Chi_syn,Conformation,Gamma,Gamma_clinical,Gamma_sign,Gamma_syn,N1-C1'-C2'/N9-C1'-C2',N1-C1'-O4'/N9-C1'-O4',N1-C2/N9-C4,N1-C6/N9-C8,Sugar,T1233,T1445,T144_N,T221_N,T2233,T2345,T321_N,T3345,T3455,T4122,T4322,T4433,T4455,TAU_0,TAU_1,TAU_2,TAU_3,TAU_4,TCHI,T_max,Temperature,Theta,absChi,absChiDiff90,absGamma,absGammaDiff90
BICVEO_13,pyrimidine,1.5422,101.814,108.8,115.434,123.199,1.4841,1.40169,109.209,107.783,1.51995,101.957,108.22,1.40817,121.366,107.779,1.51688,113.504,103.385,1.42348,110.49,1.50528,112.048,1.44152,109.564,1.4154,anti,-,anti,C3'-endo,gauche+,C,+,S,112.752,108.977,1.37936,1.36375,ribose,-82.8954,151.949,-131.439,-142.514,162.722,-158.421,103.861,-43.5663,42.0597,97.1654,-80.7647,75.0428,-72.9298,-8.76987,-16.4594,33.6175,-39.8124,30.6425,-163.465,40.00300208964877,295.0,30.80120780331792,163.465,73.465,42.0597,47.9403
CADZAI_14,pyrimidine,1.53559,100.228,111.148,116.859,122.292,1.47036,1.41672,109.412,105.374,1.52465,102.718,109.97,1.40329,120.718,108.323,1.52706,116.114,105.908,1.42248,107.828,1.51126,108.093,1.45493,110.101,1.41654,anti,-,anti,C2'-endo,trans,P,-,A,112.985,109.057,1.3878,1.36933,ribose,76.8426,125.332,-145.376,43.0554,-166.674,-97.3171,157.405,146.556,-163.825,-75.9206,78.7461,-90.9173,75.8803,-23.8124,38.4292,-37.7373,25.2101,-0.943981,-161.523,40.508179319223984,295.0,163.05292053084167,161.523,71.523,163.825,73.82499999999999
CBMURD_15,pyrimidine,1.53339,100.429,106.391,116.758,122.073,1.51283,1.41283,110.356,106.704,1.53016,102.078,114.393,1.42251,120.846,112.759,1.51994,112.656,104.594,1.41538,110.752,1.50491,112.339,1.44506,110.471,1.43102,anti,-,anti,C3'-endo,trans,P,+,A,112.324,108.705,1.36562,1.38077,ribose,158.385,136.91,-111.387,-153.987,45.5314,-154.242,88.3565,83.5682,179.926,86.989,-74.1307,-156.412,63.3581,9.9645,-30.6671,38.7224,-34.2229,15.4386,-168.221,39.735125426387725,295.0,4.212088875399049,168.221,78.221,179.926,89.92599999999999
CEFJUS_17,pyrimidine,1.53064,101.477,109.473,115.628,123.244,1.48083,1.40685,110.756,106.919,1.52018,102.7,115.517,1.4155,121.039,108.906,1.52145,117.802,104.175,1.4138,109.23,1.50786,111.041,1.45136,108.342,1.41968,anti,-,anti,C3'-endo,gauche+,C,+,S,113.925,109.67,1.40172,1.3489,ribose,155.231,142.718,-116.912,-151.183,39.8205,-153.197,93.825,83.6908,56.1346,87.4935,-78.9751,-156.302,-61.6706,7.06801,-27.4981,36.4354,-33.1899,16.5226,-167.218,37.455694495607176,295.0,7.570999059693098,167.218,77.21799999999999,56.1346,33.8654
CEFJUS_18,pyrimidine,1.52535,100.61,107.741,115.567,123.953,1.49034,1.40465,110.282,106.76,1.51752,101.202,114.765,1.4201,120.467,110.77,1.52309,116.633,103.349,1.40667,115.576,1.50287,109.407,1.44023,109.575,1.4125,anti,-,anti,C3'-endo,gauche+,C,+,S,111.434,109.361,1.39701,1.34758,ribose,165.484,146.096,-115.617,-153.598,51.7424,-158.705,90.3788,76.6701,52.7116,87.0499,-73.4286,-163.051,-64.1893,5.06921,-28.9731,40.313,-38.4261,21.1106,-167.77,42.00527741163132,295.0,11.431156040533859,167.77,77.77000000000001,52.7116,37.2884
CEKLUZ_19,pyrimidine,1.53378,100.751,108.534,118.29,121.547,1.46013,1.41188,110.53,106.273,1.53686,102.887,110.513,1.40831,119.755,114.871,1.53068,115.244,105.779,1.43077,107.807,1.51571,108.154,1.44665,108.638,1.43429,anti,-,anti,C2'-endo,gauche+,C,+,S,115.002,108.435,1.37298,1.38879,ribose,79.4087,120.015,-143.382,-84.8807,-36.9916,-94.42,154.11,148.769,56.5337,155.144,-151.862,-91.2051,-61.9109,-19.2284,34.1352,-35.4614,25.6063,-4.2494,-105.019,37.225171135716174,295.0,168.05653719998008,105.019,15.019000000000005,56.5337,33.4663
CERYED_20,pyrimidine,1.54803,103.023,113.553,117.071,121.126,1.48324,1.41069,110.229,107.686,1.52058,103.645,111.588,1.41816,121.387,110.156,1.51514,116.429,105.304,1.40695,112.476,1.51725,113.812,1.4421,108.974,1.41579,anti,-,anti,C3'-endo,gauche+,C,+,S,111.966,107.709,1.37524,1.35604,ribose,149.179,149.158,-126.292,-15.6322,-89.368,-152.786,103.487,86.5388,41.4424,-133.854,149.358,-152.634,-77.4113,-5.36324,-14.7344,27.9048,-31.959,23.5626,-153.651,32.25071903975739,295.0,27.825078085980525,153.651,63.65100000000001,41.4424,48.5576
CUNSAF_22,pyrimidine,1.51884,100.811,112.875,118.249,119.356,1.47906,1.39866,109.07,106.163,1.51759,102.121,106.978,1.39995,122.387,114.737,1.53294,117.107,105.713,1.42352,111.628,1.4958,110.533,1.46247,109.405,1.42231,anti,-,anti,C2'-endo,gauche+,C,+,S,112.5,108.594,1.37312,1.35952,ribose,79.9832,125.861,-144.792,-79.9225,-41.5988,-97.2307,157.193,148.788,55.1618,161.432,-158.969,-89.0887,-65.0286,-23.6021,38.5476,-37.3868,24.8924,-1.0769,-135.36,40.295067903917946,295.0,163.00224862873569,135.36,45.360000000000014,55.1618,34.8382
CUPYUH_23,pyrimidine,1.52524,102.14,109.716,117.356,121.829,1.48576,1.41206,110.224,107.447,1.53062,101.748,112.832,1.41319,120.792,107.78,1.52601,115.738,105.032,1.40959,114.518,1.50835,109.351,1.44088,109.436,1.44546,anti,-,anti,C3'-endo,gauche+,C,+,S,111.628,108.77,1.39913,1.35706,ribose,158.109,144.372,-117.524,-151.36,42.5538,-154.724,94.505,83.2397,46.4442,89.4673,-80.6381,-155.967,-71.9432,3.46458,-24.668,34.9169,-33.9305,19.5125,-169.956,36.716197708460776,295.0,13.037460772013008,169.956,79.95599999999999,46.4442,43.5558
CXMURD_24,pyrimidine,1.53147,100.612,114.858,118.291,120.47,1.46621,1.41587,109.204,104.993,1.50964,102.455,106.044,1.39515,121.183,112.215,1.53753,117.685,106.086,1.43475,111.456,1.49635,112.01,1.44388,108.679,1.43882,anti,-,anti,C2'-endo,gauche+,C,+,S,114.186,108.078,1.3904,1.38226,ribose,79.6242,128.826,-147.995,-81.4901,-42.9574,-98.2414,157.797,148.747,60.021,160.316,-159.914,-89.4023,-60.4885,-25.7465,39.603,-37.332,23.6096,1.3871,-133.247,40.90064552409174,295.0,159.8603076026171,133.247,43.247000000000014,60.021,29.979
CYTIAC_25,pyrimidine,1.51334,100.784,114.575,117.147,120.435,1.47526,1.41793,110.285,105.889,1.5334,102.181,108.09,1.40203,122.275,118.121,1.53683,116.0,104.653,1.43114,110.039,1.51076,113.623,1.45764,110.034,1.43729,anti,-,anti,C2'-endo,gauche+,C,+,S,112.852,107.735,1.40115,1.34977,ribose,77.2721,119.648,-140.805,-77.8428,-48.3063,-93.3185,154.227,152.045,43.8278,164.535,-164.365,-86.5217,-74.6901,-19.8103,36.6044,-38.7861,28.1147,-5.63666,-133.916,40.28662292431676,295.0,169.43292584706126,133.916,43.916,43.8278,46.1722
CYTIAC01_26,pyrimidine,1.51033,101.997,112.845,118.225,119.615,1.48522,1.40256,110.391,105.701,1.53778,101.328,108.864,1.39586,121.968,115.804,1.51562,114.589,105.66,1.4352,111.936,1.49276,111.155,1.46047,110.458,1.44869,anti,-,anti,C2'-endo,gauche+,C,+,S,113.123,107.203,1.38944,1.36102,ribose,80.6003,117.409,-138.575,-83.4504,-42.3296,-93.963,151.631,150.178,45.5116,159.543,-160.433,-87.9874,-73.6673,-17.6403,34.6243,-37.5034,27.8721,-7.04981,-145.66,38.68733412837622,295.0,171.65263844629692,145.66,55.66,45.5116,44.4884
CYTICL_27,pyrimidine,1.51336,101.022,110.39,118.269,119.971,1.47297,1.40366,109.035,105.592,1.52569,101.616,107.139,1.41931,121.76,116.465,1.52208,113.676,106.363,1.43678,111.969,1.52459,109.161,1.45494,109.335,1.41254,anti,-,anti,C2'-endo,gauche+,C,+,S,113.686,107.944,1.37946,1.37701,ribose,80.0176,122.457,-146.104,-79.1326,-39.551,-95.7583,157.035,150.204,53.1102,162.723,-157.136,-89.43,-65.5648,-24.1818,38.8903,-37.5672,24.6073,-0.673426,-134.548,40.55789790933202,295.0,162.34402191795695,134.548,44.548,53.1102,36.8898
CYTIDI01_28,pyrimidine,1.53461,101.109,109.184,117.124,122.775,1.48948,1.40911,110.188,106.962,1.51808,102.773,112.137,1.41153,120.098,113.238,1.51512,115.95,104.073,1.41187,114.508,1.50653,113.282,1.46168,110.335,1.41981,anti,-,anti,C3'-endo,gauche+,C,+,S,111.509,108.83,1.39253,1.36284,ribose,161.097,142.039,-113.307,-149.807,44.433,-155.687,90.5867,82.4421,47.1192,91.3184,-79.032,-156.198,-70.8332,7.29058,-28.2879,37.6319,-34.3272,17.0088,-162.623,38.65913906776129,295.0,7.60603619131879,162.623,72.62299999999999,47.1192,42.8808
